"site","comid","id","fdate","resolution","gnis_id","gnis_name","lengthkm","reachcode","flowdir","wbareacomi","ftype","fcode","shape_length","streamleve","streamorde","streamcalc","fromnode","tonode","hydroseq","levelpathi","pathlength","terminalpa","arbolatesu","divergence","startflag","terminalfl","dnlevel","uplevelpat","uphydroseq","dnlevelpat","dnminorhyd","dndraincou","dnhydroseq","frommeas","tomeas","rtndiv","vpuin","vpuout","areasqkm","totdasqkm","divdasqkm","tidal","totma","wbareatype","pathtimema","hwnodesqkm","maxelevraw","minelevraw","maxelevsmo","minelevsmo","slope","elevfixed","hwtype","slopelenkm","qa_ma","va_ma","qc_ma","vc_ma","qe_ma","ve_ma","qa_01","va_01","qc_01","vc_01","qe_01","ve_01","qa_02","va_02","qc_02","vc_02","qe_02","ve_02","qa_03","va_03","qc_03","vc_03","qe_03","ve_03","qa_04","va_04","qc_04","vc_04","qe_04","ve_04","qa_05","va_05","qc_05","vc_05","qe_05","ve_05","qa_06","va_06","qc_06","vc_06","qe_06","ve_06","qa_07","va_07","qc_07","vc_07","qe_07","ve_07","qa_08","va_08","qc_08","vc_08","qe_08","ve_08","qa_09","va_09","qc_09","vc_09","qe_09","ve_09","qa_10","va_10","qc_10","vc_10","qe_10","ve_10","qa_11","va_11","qc_11","vc_11","qe_11","ve_11","qa_12","va_12","qc_12","vc_12","qe_12","ve_12","lakefract","surfarea","rareahload","rpuid","vpuid","enabled","huc2","huc4","huc6","huc8","huc10","huc12","WsPctFull.x","PctAg2006Slp10Ws","PctAg2006Slp20Ws","WsPctFull.y","CanalDensWs","WsPctFull.x.x","CoalMineDensWs","WsPctFull.y.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","WsPctFull.x.x.x","PctImp2006Ws","PctImp2008Ws","PctImp2011Ws","PctImp2001Ws","PctImp2013Ws","PctImp2019Ws","PctImp2016Ws","PctImp2004Ws","WsPctFull.y.y.y","PctOw2016Ws","PctIce2016Ws","PctUrbOp2016Ws","PctUrbLo2016Ws","PctUrbMd2016Ws","PctUrbHi2016Ws","PctBl2016Ws","PctDecid2016Ws","PctConif2016Ws","PctMxFst2016Ws","PctShrb2016Ws","PctGrs2016Ws","PctHay2016Ws","PctCrop2016Ws","PctWdWet2016Ws","PctHbWet2016Ws","AriditySite","AridityWs","OmernikIIISite","OmernikIISite","OmernikISite","OmernikIIIWs","OmernikIIWs","OmernikIWs","TmeanSite","TmaxSite","TminSite","PrecipSite","AluminumSite","CalciumSite","CopperSite","IronSite","ManganeseSite","PhosphSite","AluminumWs","CalciumWs","CopperWs","IronWs","ManganeseWs","PhosphWs","geometry"
"EAS-BRA",1332190,"nhdflowline_network.2041582","1999-06-27 21:00:00","Medium"," "," ","0.569","14020001000403","With Digitized","0","StreamRiver","46006","0.0059891538509486","7","1","1","760003891","760003893","760054444","760054444","2027.74","720000024","3.798","0","0","0","6","760054444","760083599","760011139","0","1","760023820","0","14.97157","0","0","0","1.2834","4.9086","4.9086","0","0.019507808093"," ","914.423890319",NA,"-9998","293586","300949","293586","0.12940246","1"," ","0.569","4.072","1.11169","3.822","1.10758","3.822","1.10758","0.743","0.6339","7.189","1.42614","7.189","1.42614","0.384","0.53766","3.169","1.0319","3.169","1.0319","0.173","0.45852","1.955","0.86821","1.955","0.86821","0.223","0.48019","3.257","1.0425","3.257","1.0425","3.081","1.00113","4.581","1.18827","4.581","1.18827","6.61","1.34735","7.291","1.43453","7.291","1.43453","9.953","1.59956","5.036","1.23365","5.036","1.23365","9.447","1.56428","3.203","1.03601","3.203","1.03601","7.862","1.44759","2.827","0.98933","2.827","0.98933","6.012","1.29633","2.535","0.95102","2.535","0.95102","2.946","0.98483","2.224","0.90788","2.224","0.90788","1.468","0.7757","2.954","1.00541","2.954","1.00541",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020001","HUC-1402000102","HUC-140200010201",100,0,0,100,0,100,0,100,0,0,0,100,0.04,0.05,0.06,0,0.1,0.21,0.14,0.04,100,0,2.35,0.06,0.06,0.13,0.04,23.67,1.01,32.82,0.11,29.02,7.15,0,0,3.45,0.15,0.9796,0.531762408447266,"Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",10.5549993515015,15.960000038147,5.15350008010864,1217.66491699219,5.21993494033813,1.48162448406219,97.9207458496094,2.61847448348999,982.643371582031,0.0701975375413895,5.95686617264381,2.15834053663107,90,3.60802201124338,852.004270113432,0.113837979447383,c(-72.606805, 41.994946)
"EAS-PUM",1332754,"nhdflowline_network.2041250","1999-06-22 21:00:00","Medium","188856","East River","8.951","14020001000115","With Digitized","0","StreamRiver","46006","0.0932887995002816","6","2","2","760003954","760003961","760020474","760011139","2014.305","720000024","43.376","0","0","0","6","760011139","760021429","760011139","0","1","760019618","0","100","0","0","0","17.0991","86.7375","86.7375","0","0.245969904986"," ","914.03972777",NA,"-9998","275096","287173","275124","0.01346106","0"," ","8.951","64.431","1.38306","63.545","1.38185","63.545","1.38185","10.745","0.72355","29.804","1.0265","29.804","1.0265","5.407","0.59669","23.857","0.94645","23.857","0.94645","2.653","0.50593","13.786","0.78525","13.786","0.78525","3.899","0.55074","16.656","0.83562","16.656","0.83562","60.13","1.34435","90.688","1.605","90.688","1.605","119.967","1.80334","202.614","2.29536","202.614","2.29536","155.977","2.02693","117.497","1.79616","117.497","1.79616","146.73","1.97205","60.207","1.35153","60.207","1.35153","115.364","1.7726","47.024","1.22325","47.024","1.22325","88.238","1.57834","36.837","1.11201","36.837","1.11201","43.026","1.17566","27.129","0.99152","27.129","0.99152","21.435","0.90745","25.462","0.9689","25.462","0.9689",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020001","HUC-1402000102","HUC-140200010201",100,0,0,100,0,100,0,100,0,0,0,100,0.12,0.13,0.14,0.11,0.15,0.17,0.16,0.12,100,0.09,2.45,1.04,0.11,0.06,0.02,11.01,10.2,22.92,1.01,37.54,6.16,0,0,5.36,2.04,0.33730009765625,0.509706037169012,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",8.125,16.0100002288818,0.236299991607666,361.681976318359,9.25075531005859,3.64031052589417,52,5.42560148239136,836.907836914062,0.115394957363605,5.98527202096005,2.08028095568159,90,3.662430196142,856.612896075465,0.11280023596353,c(-121.550586, 44.252081)
"EAS-ROC",1332198,"nhdflowline_network.2041590","1999-06-27 21:00:00","Medium"," "," ","4.152","14020001000405","With Digitized","0","StreamRiver","46006","0.0454048482870983","7","1","1","760057565","760003894","760083611","760083611","2026.998","720000024","4.152","0","1","0","6","0","0","760011139","0","1","760022533","0","100","0","0","0","4.6413","4.6413","4.6413","0","0.140801595897"," ","914.399269146","0.2826","353741","292776","353741","292776","0.1523744","1","H","4.001","3.949","1.12397","3.704","1.11975","3.704","1.11975","0.664","0.62484","6.771","1.42609","6.771","1.42609","0.329","0.52634","2.815","1.00972","2.815","1.00972","0.15","0.45202","1.768","0.85624","1.768","0.85624","0.182","0.46755","2.905","1.02154","2.905","1.02154","3.45","1.06752","5.133","1.27323","5.133","1.27323","6.644","1.38347","7.334","1.47452","7.334","1.47452","9.909","1.63769","5.011","1.26099","5.011","1.26099","9.905","1.63741","3.369","1.07992","3.369","1.07992","6.861","1.40198","2.452","0.96014","2.452","0.96014","5.387","1.27017","2.272","0.93428","2.272","0.93428","2.635","0.9663","2.004","0.89393","2.004","0.89393","1.307","0.76178","2.69","0.993","2.69","0.993",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020001","HUC-1402000102","HUC-140200010201",100,0,0,100,0,100,0,100,0,0,0,100,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,100,0,0.12,0.41,0,0,0,2.83,2.02,54.74,0.41,30.19,5.57,0,0,2.64,1.09,0.356799975585938,0.496274987792969,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",7.45989990234375,14.9499998092651,-0.0270999986678362,463.873992919922,8.19299125671387,2.52701807022095,52,3.98273253440857,806.14013671875,0.109126828610897,5.98565451304118,2.06438355644544,90,3.84772798418999,862.196968078613,0.10453869899114,c(-121.442518, 43.931621)
"EAS-RUS",1332186,"nhdflowline_network.2041583","1999-06-27 21:00:00","Medium"," "," ","1.436","14020001000404","With Digitized","0","StreamRiver","46006","0.0139108625970817","7","1","1","760003889","760003892","760027177","760027177","2028.333","720000024","7.487","0","0","0","6","760027177","760029441","760011139","0","1","760025329","0","19.12065","0","0","0","1.4229","15.0255","15.0255","0","0.0414188736423"," ","914.442152192",NA,"-9998","295180","310155","295180","0.10428272","1"," ","1.436","13.721","1.31993","13.161","1.31652","13.161","1.31652","2.558","0.72299","13.879","1.34536","13.879","1.34536","1.276","0.59496","7.917","1.07807","7.917","1.07807","0.631","0.50556","4.935","0.90723","4.935","0.90723","0.695","0.51594","6.226","0.98587","6.226","0.98587","10.456","1.18401","15.639","1.41323","15.639","1.41323","20.943","1.57459","27.367","1.7955","27.367","1.7955","31.435","1.87932","18.785","1.52617","18.785","1.52617","33.085","1.92258","12.239","1.27838","12.239","1.27838","27.692","1.77705","10.561","1.20533","10.561","1.20533","20.756","1.56857","8.711","1.11814","8.711","1.11814","10.184","1.17184","7.074","1.03341","7.074","1.03341","5.067","0.9044","7.991","1.08188","7.991","1.08188",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020001","HUC-1402000102","HUC-140200010201",100,0,0,100,0,100,0,100,0,0,0,100,0.06,0.07,0.07,0.06,0.08,0.09,0.08,0.06,100,0.02,2.68,0,0,0,0,11.91,1.5,18.78,0.01,40.81,13.53,0,0,6.73,4.03,0.4363,0.544483154296875,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",7.06990003585815,14.5799999237061,-0.444700002670288,492.082000732422,8.18924903869629,2.39704060554504,52,3.74540686607361,843.098327636719,0.118640944361687,6.02712708641501,2.13205174418057,90,3.64210438167348,854.56373721852,0.113781626084272,c(-121.690591, 43.683974)
"GUN-GRJ",3232569,"nhdflowline_network.2043984","2007-05-30 21:00:00","Medium","201748","Gunnison River","1.041","14020005000008","With Digitized","120049817","ArtificialPath","55800","0.00977732640318774","5","6","6","760016637","760016629","760003460","760003236","1741.256","720000024","11775.988","0","0","0","5","760003236","760003469","760003236","0","1","760003449","0","100","1","0","0","0.7191","20481.6555","20477.7549","0","0.0292649014279","StreamRiver","713.981506732",NA,"-9998","141503","141594","141594","1e-05","0"," ","1.041","3756.499","1.37933","3985.356","1.38448","2689.948","1.35075","407.625","0.6377","206.564","0.5319","2006.822","1.20058","209.627","0.53973","390.077","0.62164","1953.659","1.18795","685.22","0.74228","735.667","0.74713","2198.542","1.24487","2817.287","1.22761","712.758","0.73982","3082.007","1.42885","7684.198","1.87445","11858.178","2.22839","5809.845","1.87729","8987.869","2.01034","28629.774","3.37436","4996.653","1.75657","8258.448","1.93555","11043.332","2.15717","2662.549","1.3451","5861.818","1.66477","3108.65","1.25148","1672.89","1.11839","4013.074","1.41757","1930.219","1.04064","1900.096","1.17506","3560.325","1.34926","1466.588","0.94125","2012.614","1.20195","1785.708","1.02994","876.638","0.78993","1962.492","1.19006","825.374","0.78735","478.51","0.65755","1992.388","1.19717",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020005","HUC-1402000507","HUC-140200050707",100,0.29,0.04,100,0.047,100,0.0106,100,0.0118,68570.2234,66415.5418,100,0.43,0.43,0.44,0.4,0.46,0.48,0.47,0.41,100,0.4,0.04,0.64,0.44,0.21,0.05,2.27,18.25,33.16,1.7,31.91,4.43,1.39,3.03,1.33,0.73,0.6135,0.341783113630772,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",6.69989967346191,13.8399991989136,-0.437899976968765,679.723999023438,8.81301879882812,2.75807690620422,52,4.38650703430176,946.621337890625,0.135992303490639,5.73040307181588,2.31896431568185,89.7952315624437,3.29952889928649,698.291641795968,0.0983532128043693,c(-121.81512, 43.712603)
"GUN-GUN",3252665,"nhdflowline_network.2041868","1999-06-22 21:00:00","Medium","201748","Gunnison River","0.677","14020002000170","With Digitized","0","StreamRiver","46006","0.00653726721787493","5","5","5","760017712","760017725","760009018","760003236","1955.108","720000024","1609.971","0","0","0","5","760003236","760009103","760003236","760008937","2","760008938","0","100","1","0","0","0.2655","2645.9361","2645.9361","0","0.0110212976233"," ","912.720788621",NA,"-9998","232409","232983","232409","0.00847858","0"," ","0.677","852.768","2.3549","880.957","2.3603","744.576","2.33253","90.585","0.9306","92.735","0.92925","240.951","1.42028","42.18","0.72303","114.598","1.00311","231.102","1.39591","24.011","0.61582","66.76","0.82983","298.151","1.55343","124.168","1.04403","120.026","1.0204","630.191","2.16097","1498.162","3.06874","2294.144","3.71935","1668.217","3.41491","2426.599","3.87435","6376.318","6.17805","2287.485","3.98186","2233.278","3.72056","2471.886","3.85722","1276.883","3.00379","1503.765","3.07422","725.462","2.15925","735.378","2.31922","973.363","2.50381","438.242","1.72463","532.321","2.00217","775.253","2.25392","321.114","1.50906","430.886","1.82232","365.632","1.61372","199.673","1.24134","322.809","1.60709","181.315","1.20783","141.581","1.08566","261.548","1.46978",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020002","HUC-1402000202","HUC-140200020204",100,0.02,0,100,0.0252,100,0.003,100,0.0019,50894.1664,50503.0421,100,0.33,0.34,0.35,0.31,0.37,0.39,0.38,0.32,100,0.37,0.27,0.7,0.26,0.16,0.03,2.34,10.96,40.36,1.99,31.67,3.87,2.09,0,3.01,1.92,0.654099951171875,0.450683823940615,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",6.71989965438843,13.8199996948242,-0.37950000166893,749.880981445312,8.53679084777832,2.55296754837036,52,4.61240434646606,899.511962890625,0.139331579208374,6.37603365057881,2.01766108878339,89.9889205043646,4.1589824937246,909.45439653302,0.116755896621801,c(-121.777203, 43.814152)
"GUN-R32",3252693,"nhdflowline_network.2042692","1999-06-22 21:00:00","Medium","201748","Gunnison River","0.506","14020002000950","With Digitized","0","StreamRiver","46006","0.00573013069222199","5","6","6","760017724","760017723","760007790","760003236","1950.921","720000024","3154.838","0","0","0","5","760003236","760007853","760003236","760007734","2","760007735","0","100","1","0","0","0.1422","5509.3851","5509.3851","0","0.00758883764515"," ","912.645906108",NA,"-9998","230660","230989","230660","0.00650197","0"," ","0.506","1237.449","2.56347","1286.927","2.57065","1039.733","2.5319","118.111","0.95615","106.808","0.91172","260.975","1.37565","55.023","0.74017","140.399","1.00601","275.599","1.407","30.772","0.62552","79.74","0.82499","371.612","1.59596","182.69","1.12498","149.614","1.02996","731.631","2.15337","2581.755","3.64079","3963.643","4.41947","2621.537","3.94173","3596.403","4.2821","10012.837","7.03295","4720.707","5.27375","3125.829","3.99695","3632.143","4.23317","2072.399","3.5154","2070.432","3.27226","1021.309","2.30932","979.202","2.4622","1311.845","2.63448","598.916","1.81552","682.21","2.08611","1058.467","2.38395","437.929","1.5847","539.609","1.87799","486.685","1.68231","260.724","1.27748","402.046","1.65092","238.064","1.24824","176.209","1.09546","310.303","1.47841",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020002","HUC-1402000202","HUC-140200020204",100,0.03,0,100,0.0161,100,0.0015,100,0.0022,26026.6462,25389.2397,100,0.29,0.3,0.31,0.28,0.33,0.35,0.34,0.29,100,0.2,0.13,0.54,0.21,0.13,0.03,1.55,8.83,39.88,1.85,36.47,4.21,2.13,0,2.25,1.56,0.69949990234375,0.428649055774667,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",6.56489992141724,13.5799999237061,-0.446899980306625,798.677978515625,8.62059497833252,2.56137776374817,52,4.64670372009277,902.577697753906,0.141244456171989,6.55350965497969,2.10054981925985,89.9494595448055,3.91173251622086,919.922171544587,0.122320165104568,c(-121.797505, 43.829323)
"GUN-TUN",3252173,"nhdflowline_network.2041697","1999-06-27 21:00:00","Medium","201748","Gunnison River","0.349","14020002000013","With Digitized","0","StreamRiver","46006","0.00318060289291531","5","6","6","760017607","760017558","760005723","760003236","1880.921","720000024","5458.281","0","0","0","5","760003236","760005748","760003236","0","1","760005695","0","100","0","0","0","0.1593","10283.8923","10283.8923","0","0.0111096400243"," ","716.216125206",NA,"-9998","198556","199233","199233","1e-05","0"," ","0.349","2229.356","1.23504","2343.124","1.23879","1254.645","1.19288","258.689","0.60366","162.144","0.53369","1445.229","1.26186","125.359","0.50937","263.37","0.59988","1421.801","1.25362","77.929","0.46453","155.107","0.52844","1410.58","1.24965","516.229","0.73453","270.644","0.60413","1103.432","1.13458","4172.195","1.60094","6419.924","1.89732","1521.171","1.28814","5788.562","1.8464","17283.966","2.99679","1744.499","1.36207","5424.991","1.79432","6826.759","1.95001","1397.054","1.24485","3902.795","1.55593","2011.988","1.16648","870.865","1.037","2635.687","1.3212","1243.107","0.97288","808.606","1.00886","2277.563","1.24563","939.705","0.88114","857.239","1.03092","1063.847","0.934","540.752","0.73549","1136.834","1.14776","520.653","0.73646","330.45","0.6372","1345.424","1.22631",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020002","HUC-1402000211","HUC-140200021101",100,0.05,0.01,100,0.0149,100,8e-04,100,0.0032,112207.0749,111763.7659,100,0.24,0.25,0.25,0.23,0.28,0.29,0.28,0.24,100,0.52,0.07,0.42,0.18,0.1,0.02,2.88,11.83,38.2,1.99,32.79,6.74,1.36,0,1.73,1.16,0.327699975585937,0.428837726558856,"Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",7.25989961624146,15.1399993896484,-0.624399960041046,462.078002929688,7.92784404754639,2.25918555259705,52,3.63383841514587,852.433227539062,0.116802327334881,6.50042638890252,2.25875830604051,89.9126044499812,4.11225841109013,952.891404227483,0.132816285602167,c(-121.511779, 43.682976)
"LDS-LAP",23706200,"nhdflowline_network.2488014","2001-02-27 21:00:00","Medium","1145148","Little Deschutes River","3.766","17070302000022","With Digitized","0","StreamRiver","46006","0.0402685676327963","3","4","4","50070873","50070872","50014953","50013157","669.219","50001315","462.795","0","0","0","3","50013157","50015099","50013157","0","1","50014814","0","100","0","0","0","9.8055","1862.1909","1862.1909","0","0.103006629383"," ","17.5491146244",NA,"-9998","127964","128231","128068","0.00043281","0"," ","3.766","873.311","1.52102","905.214","1.52455","208.797","1.38831","490.301","1.20088","771.763","1.42579","168.798","1.273","938.321","1.56814","1196.345","1.71864","187.66","1.32881","1631.257","1.99811","1655.9","1.98434","234.072","1.45586","1673.113","2.021","1773.506","2.04653","274.454","1.55705","1499.177","1.92403","1846.105","2.08395","342.405","1.71268","1124.166","1.69501","1318.201","1.79318","324.466","1.67312","826.38","1.48597","607.206","1.29219","236.366","1.46182","616.323","1.31615","320.224","1.0088","202.338","1.37044","447.771","1.1589","285.15","0.96695","148.192","1.20856","377.18","1.08484","296.353","0.98057","77.339","0.94571","448.601","1.15973","471.212","1.16826","107.934","1.06911","412.267","1.1224","608.212","1.29306","156.082","1.2337",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070302","HUC-1707030206","HUC-170703020609",100,0.01,0,100,0.0239,100,0,100,0.0011,79254.5573,57031.6725,100,0.68,0.68,0.73,0.66,0.73,0.76,0.74,0.67,100,1.03,0,1.33,0.5,0.15,0.02,0.21,0,59.57,0,32.55,1.57,0.2,0.01,2.04,0.81,0.189400036621094,0.563663643036144,"Columbia Plateau","COLD DESERTS","NORTH AMERICAN DESERTS","Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",11.8948993682861,18.0599994659424,5.73399972915649,318.428894042969,7.63883018493652,2.36975884437561,52,4.33586072921753,746.030578613281,0.09949641674757,8.4357838642943,2.41743595436431,52.0029568658221,3.91479763167886,830.45174958388,0.11341710626196,c(-120.906144, 45.613295)
"LOO-BLU",23773411,"nhdflowline_network.2503063","2001-02-12 21:00:00","Medium","1123461","Lookout Creek","3.865","17090004001156","With Digitized","0","StreamRiver","46006","0.0421153816081341","5","3","3","50076933","50076932","50074877","50067527","534.126","50001315","34.45","0","0","0","5","50067527","50084721","50067527","0","1","50067527","0","100","0","0","0","7.1451","63.5697","63.5697","0","0.100189387866"," ","47.3290318547",NA,"-9998","41798","49718","41798","0.02049159","0"," ","3.865","124.145","1.46527","122.386","1.46393","123.614","1.46487","207.573","1.82834","401.623","2.48023","230.314","1.9177","209.096","1.83425","419.654","2.53147","223.167","1.89099","211.247","1.84256","322.214","2.24047","187.4","1.7508","185.832","1.74161","207.712","1.83867","166.241","1.6619","136.625","1.52563","137.116","1.53581","129.72","1.49486","78.81","1.21725","71.52","1.17715","68.645","1.15462","40.451","0.9462","27.855","0.83494","25.425","0.80778","21.131","0.76019","15.006","0.68753","14.707","0.68181","13.589","0.66577","15.771","0.69767","15.349","0.69038","31.248","0.8645","35.841","0.91036","30.325","0.85677","158.206","1.62422","171.171","1.68926","156.967","1.62126","196.797","1.78592","319.655","2.2323","240.766","1.95608",NA,NA,NA,"17c","17","1","HUC-17","HUC-1709","HUC-170900","HUC-17090004","HUC-1709000404","HUC-170900040401",100,0,0,100,0,100,0,100,0,0,0,100,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.11,100,0,0,0.01,0,0,0,0,0.01,97.41,0.01,2.46,0.09,0,0,0,0,0.184900134277344,1.42549234411851,"Blue Mountains","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",11.1498994827271,18.9898986816406,3.30769991874695,260.255004882812,8.62158584594727,2.92339539527893,52,4.95342397689819,810.000366210938,0.0837286040186882,9.17828823060028,2.96145997244566,52,5.65285743176167,921.212684020208,0.113064421663297,c(-121.247101, 44.721448)
"MCK-WAL",23772801,"nhdflowline_network.2502087","2001-02-12 21:00:00","Medium","1136527","McKenzie River","2.287","17090004000078","With Digitized","23777503","ArtificialPath","55800","0.0255098887601116","3","5","5","50076653","50076652","50009362","50007511","475.574","50001315","1506.196","0","0","0","3","50007511","50009471","50007511","50009309","2","50009311","0","100","1","0","0","2.8998","2730.9312","2725.9047","0","0.0443382357189","StreamRiver","2.61110037035",NA,"-9998","17994","18248","17994","0.00111062","0"," ","2.287","4633.862","2.01496","5013.708","2.02588","3062.654","1.95866","6558.195","2.36059","5538.341","2.11908","5455.791","2.55077","6529.779","2.35587","4632.136","1.95519","4323.327","2.29018","6775.312","2.39639","5179.055","2.05573","3642.845","2.11791","6418.241","2.33722","6586.158","2.29359","3922.805","2.19047","5593.952","2.19441","7708.333","2.46656","3252.443","2.0122","4103.302","1.90825","5451.404","2.10394","1834.211","1.56538","2702.41","1.59004","2036.926","1.37297","1217.388","1.31951","1872.803","1.36327","877.852","0.98926","1216.811","1.31925","1424.535","1.22063","743.664","0.93185","1153.121","1.2908","1804.29","1.3426","1117.682","1.08244","1416.098","1.40403","5502.239","2.17793","5382.498","2.09185","3593.303","2.1048","6352.139","2.3261","6565.322","2.29025","5145.773","2.48218",NA,NA,NA,"17c","17","1","HUC-17","HUC-1709","HUC-170900","HUC-17090004","HUC-1709000407","HUC-170900040704",100,0.03,0.01,100,0.0031,100,0,100,0.0029,148683.929,139799.1263,100,0.14,0.15,0.15,0.14,0.15,0.16,0.15,0.14,100,0.52,0.22,0.76,0.09,0.01,0,3.38,0.03,84.05,0.94,7.35,2.1,0.28,0,0.2,0.07,0.18310009765625,1.35332091944572,"Blue Mountains","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",11.0699996948242,18.8500003814697,3.29239988327026,257.756988525391,7.80594110488892,2.59000015258789,52,4.64177513122559,855.623718261719,0.08944071829319,9.20230410025468,2.93192472977662,51.9991399030086,5.93361191990786,990.918964082161,0.121391822109068,c(-121.062567, 44.801838)
"TAY-RES",1333490,"nhdflowline_network.2041206","1999-06-22 21:00:00","Medium","188791","Taylor River","1.829","14020001000068","With Digitized","0","StreamRiver","46006","0.0192741029589037","5","5","5","760004164","760004092","760013519","760003236","2006.921","720000024","464.165","0","0","0","5","760003236","760013784","760003236","0","1","760013270","0","100","0","0","0","4.4595","662.6592","662.6592","0","0.0332347761247"," ","913.731313549",NA,"-9998","278496","284221","279384","0.02644614","0"," ","1.829","216.945","2.09476","218.676","2.09591","209.531","2.08974","23.234","0.85387","44.936","1.07991","92.585","1.4629","10.4","0.66436","39.322","1.02713","94.316","1.47432","5.359","0.55872","22.81","0.84664","133.69","1.71161","8.931","0.63671","26.73","0.89392","185.504","1.97818","283.011","2.3656","429.975","2.86801","234.249","2.1984","662.581","3.54021","1438.606","5.16892","316.592","2.52623","625.7","3.44341","576.181","3.2984","390.839","2.78876","405.828","2.79954","178.732","1.91436","308.449","2.49576","250.074","2.23478","105.678","1.52333","309.153","2.49841","192.254","1.98375","80.036","1.35663","219.226","2.13304","91.467","1.43767","54.823","1.16584","125.021","1.66253","45.775","1.09032","46.845","1.09714","97.83","1.49719",NA,NA,NA,"14a","14","1","HUC-14","HUC-1402","HUC-140200","HUC-14020001","HUC-1402000101","HUC-140200010107",100,0,0,100,0,100,0,100,0.0015,197700.2821,197700.2821,100,0.17,0.17,0.17,0.17,0.2,0.21,0.21,0.17,100,1.23,0.44,0.36,0.05,0.02,0,4.14,0.77,54.79,0.05,25.65,5.46,0,0,4.22,2.8,0.9775,0.509429721580544,"Willamette Valley","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",11.5949001312256,17.5599994659424,5.63039970397949,1144.4990234375,8.22770595550537,1.86183929443359,52,7.83255290985107,1551.80053710938,0.0624622069299221,6.78610493905014,1.88697203611716,89.9966413424565,4.12883056286308,918.511433788854,0.139180005629523,c(-122.905922, 43.996876)
